Title,link
"‘Woman yelling at cat’ memes flood Internet, people drop creative versions",https://www.hindustantimes.com/it-s-viral/woman-yelling-at-cat-memes-flood-internet-people-drop-creative-versions/story-mtzCYh3DvaLRwRYfnh7c6N.html
Dog stuck in 40-foot-deep tank for 7 days rescued in Pune. Watch,https://www.hindustantimes.com/it-s-viral/dog-stuck-in-40-foot-deep-tank-for-7-days-rescued-in-pune-watch/story-2d5vYoLBchS40YNLWs7UXN.html
"Dolphin spotted in West Bengal canal, dies due to polluted water",https://www.hindustantimes.com/it-s-viral/dolphin-swims-in-west-bengal-canal-thousands-gather-to-see-it-watch/story-Cjtdsfdaco0RcuGolkTErI.html
"Meet Duo, the two-faced kitten with whom Internet fell in love. Watch",https://www.hindustantimes.com/it-s-viral/meet-duo-the-two-faced-kitten-with-whom-internet-fell-in-love-watch/story-8UBcvgvPLLfdDYiBMaR1LO.html
"Move over gulab jamun pizza, Kurkure milkshake is the latest fusion dish making Twitter angry",https://www.hindustantimes.com/it-s-viral/move-over-gulab-jamun-pizza-kurkure-milkshake-is-the-latest-fusion-dish-making-twitter-angry/story-UqWiOeH8BkidWuwk9rSyUN.html
"Leopard pounces on bikers, misses by inches. Heart-stopping video captured",https://www.hindustantimes.com/it-s-viral/leopard-pounces-on-bikers-misses-by-inches-heart-stopping-video-captured/story-bmT2k84jZ4lYdh3JDgUEWL.html
Delhi Pollution holiday is a thing. ‘Kids’ are writing essays about it,https://www.hindustantimes.com/it-s-viral/delhi-pollution-holiday-is-a-thing-kids-are-writing-essays-about-it/story-hxTkAo4SVh5SV8y4kjdlBJ.html
Aliens or baby owls? What do you see in this old video going viral,https://www.hindustantimes.com/it-s-viral/aliens-or-baby-owls-what-do-you-see-in-this-old-video-going-viral/story-PWofGeem2bYZefPoxdEuSN.html
Rs 1672 for 3 eggs! Netizens troll 5-star hotel for hefty price,https://www.hindustantimes.com/it-s-viral/rs-1672-for-3-eggs-netizens-troll-5-star-hotel-for-hefty-price/story-gUO5IGXl8mIuEdFzpOofeN.html
Boy battles 14-foot-long crocodile to save sister from its jaws,https://www.hindustantimes.com/it-s-viral/boy-battles-14-foot-long-crocodile-to-save-sister-from-its-jaws/story-bw617EE8TfuQJL9luApvGP.html
"Bollywood stars on TikTok: From Sunny Leone to Madhuri Dixit, B-town actors who’re rocking the platform",https://www.hindustantimes.com/it-s-viral/bollywood-stars-on-tiktok-from-madhuri-dixit-to-sunny-leone-b-town-actors-who-re-rocking-the-platform/story-0Erk5Hm316RQBYqzDaMGiO.html
Couple says ‘I do’ in hospital for a moving reason. Here’s the story behind this unique wedding,https://www.hindustantimes.com/lifestyle/couple-says-i-do-in-hospital-for-a-moving-reason-here-s-the-story-behind-this-unique-wedding/story-war48sJln8NjLKRghwF05O.html
Man takes canoe ride to collect moving expense he was previously denied,https://www.hindustantimes.com/it-s-viral/man-takes-canoe-ride-to-collect-moving-expense-he-was-previously-denied/story-KjLfdTLlsvsgKs7oiiBIXK.html
"Cat keeps on opening door to bust out fellow felines, reminds people of illusionist Harry Houdini",https://www.hindustantimes.com/it-s-viral/cat-keeps-on-opening-door-to-bust-out-fellow-felines-reminds-people-of-illusionist-harry-houdini/story-QICmfl1St0qKqAdsagKzaK.html
"Ranveer Singh recreates Kapil Dev’s iconic Natraj shot, sparks meme fest on Twitter",https://www.hindustantimes.com/it-s-viral/ranveer-singh-recreates-kapil-dev-s-iconic-natraj-shot-sparks-meme-fest-on-twitter/story-mlLKdJxNvzf7UXPp0fFvqL.html
